link_id,from_node_id,to_node_id,length,geometry
901,753,754,409.8790094,"LINESTRING (-109.835234 34.2799698, -109.8381131 34.2824123)"
902,753,376,367.3911764,"LINESTRING (-109.835234 34.2799698, -109.8337551 34.2769023)"
903,376,753,367.3911764,"LINESTRING (-109.8337551 34.2769023, -109.835234 34.2799698)"
904,376,377,331.7767548,"LINESTRING (-109.8337551 34.2769023, -109.8337229 34.2739279)"
905,377,376,331.7767548,"LINESTRING (-109.8337229 34.2739279, -109.8337551 34.2769023)"
906,755,752,522.0095445,"LINESTRING (-109.8445167 34.2846437, -109.8444587 34.2799494)"
907,752,755,522.0095445,"LINESTRING (-109.8444587 34.2799494, -109.8445167 34.2846437)"
908,752,751,390.7490486,"LINESTRING (-109.8444587 34.2799494, -109.8429637 34.2769065)"
909,751,752,390.7490486,"LINESTRING (-109.8429637 34.2769065, -109.8444587 34.2799494)"
910,751,377,981.4690132,"LINESTRING (-109.8429637 34.2769065, -109.8337229 34.2739279)"
911,377,751,981.4690132,"LINESTRING (-109.8337229 34.2739279, -109.8429637 34.2769065)"
912,376,751,846.1156737,"LINESTRING (-109.8337551 34.2769023, -109.8429637 34.2769065)"
913,751,376,846.1156737,"LINESTRING (-109.8429637 34.2769065, -109.8337551 34.2769023)"
914,191,220,674.3316447,"LINESTRING (-109.744002 34.28268, -109.736663 34.282752)"
915,220,191,674.3316447,"LINESTRING (-109.736663 34.282752, -109.744002 34.28268)"
916,220,292,790.9145491,"LINESTRING (-109.736663 34.282752, -109.728055 34.282823)"
917,292,220,790.9145491,"LINESTRING (-109.728055 34.282823, -109.736663 34.282752)"
918,378,330,206.3161536,"LINESTRING (-109.7575243 34.3543474, -109.7555775 34.3534227)"
919,330,378,206.3161536,"LINESTRING (-109.7555775 34.3534227, -109.7575243 34.3543474)"
920,330,285,668.6526788,"LINESTRING (-109.7555775 34.3534227, -109.749121 34.3510253)"
921,285,330,668.6526788,"LINESTRING (-109.749121 34.3510253, -109.7555775 34.3534227)"
